case_id,case_label,level_id,level_label,level_order,engine,variant,step,omega,lambda,umax
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,delta_lambda,1,6214942.207085359,1.0,0.7966628583280251
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,delta_lambda,2,6229234.3452655105,1.1,0.8149958312555906
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,delta_lambda,3,6243526.483445662,1.159876851294644,0.8297190366945858
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,delta_lambda,4,6272110.759805965,1.2449702624903063,0.8545865816196718
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,delta_lambda,5,6300695.036166268,1.311421133418913,0.8737431936390869
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,delta_lambda,6,6357863.588886875,1.4187567669496957,0.906082147477695
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,delta_lambda,7,6415032.141607481,1.5057784209941807,0.9356232170420884
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,delta_lambda,8,6529369.247048694,1.6085270357253736,1.4303649251070656
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,delta_lambda,9,6643706.352489906,1.6255894313393036,3.583828609121914
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,delta_lambda,10,6872380.563372332,1.6388006301375302,8.293659345756016
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,delta_lambda,11,7329728.985137182,1.6489665438870975,18.523799261288108
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,delta_lambda,12,8244425.8286668835,1.6569862949069771,39.476633216154475
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,delta_lambda,13,10073819.515726287,1.6635725926736804,82.16947222380827
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,delta_lambda,14,12000000.0,1.6668545373634573,127.50440526914672
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,matlab,main,1,6214941.997339212,1.0,0.7966549138534904
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,matlab,main,2,6229234.439539917,1.1,0.8149947106538068
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,matlab,main,3,6243526.881740621,1.1598631654898592,0.829956407303452
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,matlab,main,4,6272111.76614203,1.244963020901677,0.8545938032481979
